GPS TOW [s],North,East,Up
123463,2815553.81689766,518516.822197924,5680547.73525148
123464,2815550.19511856,518533.264145742,5680549.37390138
123465,2815545.71207632,518549.421294623,5680551.48889968
123466,2815542.95626233,518568.19130868,5680561.95338692
123467,2815536.85419641,518583.915796874,5680564.91109311
123468,2815529.91803781,518599.388386208,5680568.27156592
123469,2815522.39067789,518614.591876713,5680571.97444543
123470,2815514.3112631,518629.440020138,5680576.01349364
123471,2815505.58975511,518643.857048059,5680580.35223861
123472,2815496.16944599,518657.832606383,5680584.95135718
123473,2815486.12599208,518671.369154925,5680589.78541874
123474,2815475.53706919,518684.375379327,5680594.81206914
123475,2815464.42142741,518696.753966913,5680600.00774906
123476,2815452.96904962,518708.501670097,5680605.31208739
123477,2815441.36910511,518719.809534837,5680610.52768557
123478,2815429.77464655,518730.658499651,5680615.65098492
123479,2815418.32883625,518740.827560823,5680620.63162316
123480,2815407.16976007,518750.247854516,5680625.48103821
123481,2815396.61034189,518758.807133955,5680630.03437101
123482,2815386.83228419,518766.574534692,5680634.24445188
123483,2815378.08287154,518773.847447882,5680637.90305799
123484,2815370.72950507,518781.210554177,5680640.88358712
123485,2815365.20205773,518788.986256972,5680642.95938605
123486,2815361.44148109,518797.500196242,5680644.08795681
123487,2815359.84375615,518806.958662743,5680644.18612727
123488,2815360.67416096,518816.655977402,5680643.36549997
123489,2815363.56422151,518825.995250185,5680641.65214222
123490,2815366.99451311,518835.167408203,5680639.89409698
123491,2815369.8557313,518844.386951035,5680638.36393831
123492,2815371.41255928,518853.547140794,5680637.38855176
123493,2815371.28027495,518862.447603766,5680637.34178828
123494,2815369.75814041,518870.749659468,5680637.73458184
123495,2815367.14243728,518877.891941392,5680638.65620644
123496,2815363.91306174,518883.80796838,5680639.86712052
123497,2815360.48153516,518888.727141048,5680641.24707227
123498,2815356.86271583,518893.386855025,5680642.71732535
123499,2815353.04113576,518898.112116987,5680644.19572557
123500,2815349.05528834,518902.720634567,5680645.68000335
123501,2815345.07702217,518906.482498223,5680647.24829031
123502,2815341.10740851,518908.819687895,5680648.95547183
123503,2815337.30645355,518909.546589713,5680650.8030197
123504,2815333.90988694,518908.678875463,5680652.57678301
123505,2815331.19434694,518906.27439458,5680654.28074116
123506,2815329.22162702,518902.562576001,5680655.71330602
123507,2815327.64355162,518897.578867458,5680657.09396601
123508,2815326.31559505,518891.3881593,5680658.44832557
123509,2815324.84216486,518884.326759258,5680660.11197799
123510,2815322.9363664,518876.567521008,5680662.1589254
123511,2815320.43603971,518868.192183971,5680664.60323531
123512,2815317.40660644,518859.242773805,5680667.33358819
123513,2815314.16076968,518849.583181137,5680670.16708287
123514,2815310.77955968,518839.16260381,5680672.95981288
123515,2815307.48864131,518828.159583238,5680675.58078556
123516,2815304.62175197,518817.223164513,5680677.81418664
123517,2815302.22328327,518806.826927872,5680679.58168289
123518,2815300.24552523,518797.003639737,5680680.98610273
123519,2815298.62923804,518787.569433509,5680682.06659528
123520,2815297.27599343,518778.501440539,5680682.89676393
123521,2815296.09644961,518769.822511817,5680683.65544409
123522,2815294.83324758,518761.647344647,5680684.54988929
123523,2815293.41279471,518754.780518236,5680685.56332166
123524,2815292.24075839,518750.318025723,5680686.3735894
123525,2815291.52840024,518748.085564769,5680686.8330695
123526,2815291.23282446,518747.201168167,5680687.04343535
123527,2815290.92350989,518746.329702823,5680687.2415767
123528,2815290.08839824,518744.11497786,5680687.80986401
123529,2815288.58430352,518740.381448727,5680688.79312322
123530,2815286.96128322,518735.384704761,5680689.92170145
123531,2815286.06035646,518729.816316686,5680690.78239224
123532,2815286.04787221,518724.594942969,5680691.1480563
123533,2815286.57653012,518720.323406369,5680691.22871372
123534,2815287.16536279,518717.001395955,5680691.18930411
123535,2815287.62004065,518714.591620801,5680691.16030926
123536,2815287.99217651,518712.413535206,5680691.13565734
123537,2815288.38413166,518709.854443842,5680691.13940398
123538,2815288.70461838,518706.410596024,5680691.22999549
123539,2815288.74997281,518701.588862365,5680691.52723604
123540,2815288.33668194,518695.154765838,5680692.09094457
123541,2815287.54109961,518687.164763323,5680692.93061105
123542,2815286.44331562,518677.664128795,5680694.0090771
123543,2815285.02431608,518666.908804023,5680695.36995964
123544,2815283.42911179,518655.173416895,5680696.90452295
123545,2815281.70966803,518642.826266888,5680698.66584515
123546,2815279.85635188,518630.193409633,5680700.6125618
123547,2815277.90519539,518617.542749695,5680702.61745388
123548,2815275.58920483,518604.966265319,5680704.80188965
123549,2815272.70286271,518592.517219309,5680707.20367703
123550,2815269.00649043,518580.333847097,5680710.02351159
123551,2815264.45853322,518568.495759771,5680713.17949475
123552,2815259.0468366,518557.113390596,5680716.68953769
123553,2815252.8635171,518546.228149975,5680720.52492787
123554,2815245.98862877,518535.813170199,5680724.62213721
123555,2815238.50425237,518525.976450674,5680728.95676733
123556,2815230.84747762,518517.119669316,5680733.29613696
123557,2815223.41765354,518509.16730461,5680737.40337845
123558,2815216.19468565,518501.642215257,5680741.42630181
123559,2815208.98657067,518494.462323931,5680745.42122904
123560,2815201.84739232,518487.576213471,5680749.31592964
123561,2815194.86154103,518480.909737217,5680753.13297482
123562,2815188.05362936,518474.472918313,5680756.86392196
123563,2815181.47949623,518468.337615923,5680760.47873357
123564,2815175.20197691,518462.62868427,5680763.8659367
123565,2815169.40690559,518457.450341103,5680767.02944514
123566,2815164.11670254,518452.759457074,5680769.89541838
123567,2815159.26453063,518448.458102456,5680772.54791083
123568,2815154.15612418,518444.000703183,5680775.3332403
123569,2815148.53803843,518439.260735455,5680778.4068896
123570,2815142.36171748,518434.289146296,5680781.83030248
123571,2815135.65661346,518429.216775266,5680785.48289353
