satelite_id,Datetime,C_rs,Delta n0,M0,C_uc,e,C_us,sqrt(A),T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA DOT,IDOT,t_tm
C37,2025-03-25 14:00:00,46.8203125,4.465007414052e-09,-2.468101010657,2.2593885660169997e-06,0.0005186207708903,8.514150977135e-06,5282.632164365,223200.00000000003,-2.793967723846e-08,0.29285500836940004,-2.607703208923e-08,0.9462044571450001,180.93359375,-0.23602968913820002,-6.994219908762e-09,4.944848829945001e-10,6.0
C37,2025-03-25 14:00:00,46.8203125,4.465007414052e-09,-2.468101010657,2.2593885660169997e-06,0.0005186207708903,8.514150977135e-06,5282.632164365,223200.00000000003,-2.793967723846e-08,0.29285500836940004,-2.607703208923e-08,0.9462044571450001,180.93359375,-0.23602968913820002,-6.994219908762e-09,4.944848829945001e-10,223200.00000000003
C37,2025-03-25 15:00:00,51.15625,4.3923258151430004e-09,-1.981179903935,2.379529178143e-06,0.0005169190699235001,8.375849574804e-06,5282.63451004,226799.99999999997,-1.396983861923e-09,0.2928297532832,-2.2351741790770002e-08,0.9462061943603001,185.953125,-0.23538696851490004,-7.003148852117e-09,5.089497712294001e-10,226799.99999999997
C37,2025-03-25 15:00:00,45.8671875,4.4250057478220005e-09,-1.980458018963,2.230517566204e-06,0.0005189380608499,8.539296686648999e-06,5282.63361369,226799.99999999997,1.583248376846e-08,0.2928297013496,-1.396983861923e-08,0.9462061599817,180.1015625,-0.23610502283620002,-7.0085062181300006e-09,5.198430821224e-10,7.0
C37,2025-03-25 15:00:00,45.8671875,4.4250057478220005e-09,-1.980458018963,2.230517566204e-06,0.0005189380608499,8.539296686648999e-06,5282.63361369,226799.99999999997,1.583248376846e-08,0.2928297013496,-1.396983861923e-08,0.9462061599817,180.1015625,-0.23610502283620002,-7.0085062181300006e-09,5.198430821224e-10,7.0
C37,2025-03-25 15:00:00,45.8671875,4.4250057478220005e-09,-1.980458018963,2.230517566204e-06,0.0005189380608499,8.539296686648999e-06,5282.63361369,226799.99999999997,1.583248376846e-08,0.2928297013496,-1.396983861923e-08,0.9462061599817,180.1015625,-0.23610502283620002,-7.0085062181300006e-09,5.198430821224e-10,7.0
C37,2025-03-25 15:00:00,45.8671875,4.4250057478220005e-09,-1.980458018963,2.230517566204e-06,0.0005189380608499,8.539296686648999e-06,5282.63361369,226799.99999999997,1.583248376846e-08,0.2928297013496,-1.396983861923e-08,0.9462061599817,180.1015625,-0.23610502283620002,-7.0085062181300006e-09,5.198430821224e-10,7.0
C37,2025-03-25 15:00:00,45.8671875,4.4250057478220005e-09,-1.980458018963,2.230517566204e-06,0.0005189380608499,8.539296686648999e-06,5282.63361369,226799.99999999997,1.583248376846e-08,0.2928297013496,-1.396983861923e-08,0.9462061599817,180.1015625,-0.23610502283620002,-7.0085062181300006e-09,5.198430821224e-10,7.0
C37,2025-03-25 15:00:00,45.8671875,4.4250057478220005e-09,-1.980458018963,2.230517566204e-06,0.0005189380608499,8.539296686648999e-06,5282.63361369,226799.99999999997,1.583248376846e-08,0.2928297013496,-1.396983861923e-08,0.9462061599817,180.1015625,-0.23610502283620002,-7.0085062181300006e-09,5.198430821224e-10,226799.99999999997
C37,2025-03-25 16:00:00,53.6875,4.333394789001e-09,-1.491712564159,2.4512410163879996e-06,0.0005169780924916001,8.568167686462001e-06,5282.636417389,230399.99999999997,1.443549990654e-08,0.29280440383870004,6.984919309616e-09,0.9462080156933,179.109375,-0.2372878418425,-7.0085062181300006e-09,5.325221816864e-10,230399.99999999997
C37,2025-03-25 16:00:00,44.6875,4.365003248477e-09,-1.493025149119,2.2072345018389996e-06,0.0005192445241846001,8.543953299522e-06,5282.635449192,230399.99999999997,4.6566128730770005e-09,0.29280431606359997,3.166496753693e-08,0.9462079878978001,180.1015625,-0.2359708052226,-7.005648956256e-09,5.484157008581e-10,8.0
C37,2025-03-25 16:00:00,44.6875,4.365003248477e-09,-1.493025149119,2.2072345018389996e-06,0.0005192445241846001,8.543953299522e-06,5282.635449192,230399.99999999997,4.6566128730770005e-09,0.29280431606359997,3.166496753693e-08,0.9462079878978001,180.1015625,-0.2359708052226,-7.005648956256e-09,5.484157008581e-10,8.0
C37,2025-03-25 16:00:00,44.6875,4.365003248477e-09,-1.493025149119,2.2072345018389996e-06,0.0005192445241846001,8.543953299522e-06,5282.635449192,230399.99999999997,4.6566128730770005e-09,0.29280431606359997,3.166496753693e-08,0.9462079878978001,180.1015625,-0.2359708052226,-7.005648956256e-09,5.484157008581e-10,8.0
C37,2025-03-25 16:00:00,44.6875,4.365003248477e-09,-1.493025149119,2.2072345018389996e-06,0.0005192445241846001,8.543953299522e-06,5282.635449192,230399.99999999997,4.6566128730770005e-09,0.29280431606359997,3.166496753693e-08,0.9462079878978001,180.1015625,-0.2359708052226,-7.005648956256e-09,5.484157008581e-10,8.0
C37,2025-03-25 16:00:00,44.6875,4.365003248477e-09,-1.493025149119,2.2072345018389996e-06,0.0005192445241846001,8.543953299522e-06,5282.635449192,230399.99999999997,4.6566128730770005e-09,0.29280431606359997,3.166496753693e-08,0.9462079878978001,180.1015625,-0.2359708052226,-7.005648956256e-09,5.484157008581e-10,230399.99999999997
C37,2025-03-25 17:00:00,48.828125,4.2498198791990005e-09,-1.002234646022,2.3217871785159996e-06,0.0005175721598789,8.762348443269999e-06,5282.638658524,234000.0,-2.6542693376540003e-08,0.2927789753967,3.306195139885e-08,0.9462099730777,172.0625,-0.2392000191381,-6.993862751028e-09,5.653806932324e-10,234000.0
C37,2025-03-25 17:00:00,47.41796875,4.270535027783e-09,-1.003529581607,2.3255124688149998e-06,0.0005181995220482,8.742325007914999e-06,5282.6382176960005,234000.0,-2.7008354663850002e-08,0.2927789614989,2.607703208923e-08,0.9462099716147,175.3359375,-0.23790330464470003,-6.992076962357001e-09,5.653806932324e-10,9.0
