satelite_id,Datetime,a0,a1,a2,X,Vx,ax,Health,Y,Vy,ay,Frequency number,Z,Vz,az,Age of operation
R16,2025-03-25 06:15:00,3.441236913204e-05,9.094947017729001e-13,195960.0,11915.594726559999,-1.136276245117,-9.313225746155e-10,0.0,-1436.858398438,2.86466217041,0.0,-2.0,22519.062988280002,0.7808227539062,-2.793967723846e-09,0.0
R16,2025-03-25 06:45:00,3.441330045462e-05,0.0,196200.0,10227.47949219,-0.7209806442261,-9.313225746155e-10,0.0,3947.675292969,3.069693565369,0.0,-1.0,23036.82421875,-0.20936489105220002,-2.793967723846e-09,0.0
R16,2025-03-25 07:15:00,3.441330045462e-05,0.0,198000.0,9354.71875,-0.2482109069824,0.0,0.0,9431.142578125,2.971454620361,0.0,-1.0,21774.68994141,-1.184018135071,-2.793967723846e-09,0.0
R16,2025-03-25 07:45:00,3.441423177719e-05,0.0,199800.0,9303.3515625,0.1739597320557,0.0,0.0,14464.84765625,2.574650764465,0.0,-1.0,18829.02441406,-2.067790985107,-2.793967723846e-09,0.0
R16,2025-03-25 08:15:00,3.441423177719e-05,0.0,201600.0,9891.3671875,0.4477081298828,9.313225746155e-10,0.0,18550.00097656,1.929316520691,0.0,-1.0,14426.539062499998,-2.792144775391,-1.862645149231e-09,0.0
R16,2025-03-25 08:45:00,3.441423177719e-05,0.0,203399.99999999997,10782.83056641,0.5023498535156,1.862645149231e-09,0.0,21313.297851559997,1.122965812683,0.0,-1.0,8907.114257812,-3.300706863403,-9.313225746155e-10,0.0
R16,2025-03-25 09:15:00,3.441423177719e-05,0.0,205200.0,11548.74121094,0.30672359466550003,1.862645149231e-09,0.0,22562.52490234,0.2665462493896,-9.313225746155e-10,-1.0,2697.701660156,-3.553757667542,-9.313225746155e-10,0.0
R16,2025-03-25 09:45:00,3.4415163099770006e-05,0.0,207030.0,11744.45507812,-0.1250591278076,1.862645149231e-09,0.0,22312.952148440003,-0.5235176086426,-1.862645149231e-09,-1.0,-3720.7568359379998,-3.531438827515,0.0,0.0
R16,2025-03-25 10:15:00,3.4415163099770006e-05,0.0,208829.99999999997,10990.63183594,-0.7355089187622,9.313225746155e-10,0.0,20780.10205078,-1.144200325012,-1.862645149231e-09,-1.0,-9850.812011719001,-3.235396385193,9.313225746155e-10,0.0
R16,2025-03-25 10:45:00,3.4415163099770006e-05,0.0,210630.0,9043.98828125,-1.433035850525,9.313225746155e-10,0.0,18340.12548828,-1.522472381592,-1.862645149231e-09,-1.0,-15217.38085938,-2.688673019409,1.862645149231e-09,0.0
R16,2025-03-25 11:15:00,3.4415163099770006e-05,0.0,212430.0,5845.807128906,-2.107031822205,0.0,0.0,15464.485839840001,-1.626839637756,-1.862645149231e-09,-1.0,-19404.85888672,-1.93386554718,1.862645149231e-09,0.0
R16,2025-03-25 11:45:00,3.4415163099770006e-05,0.0,214230.0,1539.924316406,-2.646216392517,0.0,0.0,12639.984375,-1.471865653992,-9.313225746155e-10,-1.0,-22089.45654297,-1.029710769653,2.793967723846e-09,0.0
R16,2025-03-25 12:15:00,3.441609442234e-05,0.0,216030.0,-3542.936035156,-2.957144737244,0.0,0.0,10287.58398438,-1.11497592926,0.0,-1.0,-23064.21533203,-0.04642009735107,2.793967723846e-09,0.0
R16,2025-03-25 12:45:00,3.441609442234e-05,0.0,217800.0,-8931.934082031,-2.979782104492,0.0,0.0,8693.587402344001,-0.6461315155029,0.0,-1.0,-22254.78515625,0.9398412704468001,2.793967723846e-09,0.0
R16,2025-03-25 13:15:00,3.441702574492e-05,0.0,219600.00000000003,-14086.30078125,-2.697580337524,0.0,0.0,7964.557617188,-0.1721572875977,9.313225746155e-10,-1.0,-19724.84765625,1.852864265442,2.793967723846e-09,0.0
R16,2025-03-25 13:45:00,3.4417957067490003e-05,9.094947017729001e-13,221400.0,-18477.39355469,-2.140416145325,0.0,0.0,8013.311035156001,0.2016296386719,1.862645149231e-09,-1.0,-15670.876953120001,2.622261047363,1.862645149231e-09,0.0
R16,2025-03-25 14:15:00,3.4418888390060004e-05,9.094947017729001e-13,223200.00000000003,-21669.192382809997,-1.379939079285,0.0,0.0,8578.1328125,0.38942909240720003,1.862645149231e-09,-1.0,-10406.71777344,3.18883895874,1.862645149231e-09,0.0
R16,2025-03-25 14:45:00,3.441981971264e-05,9.094947017729001e-13,225000.0,-23384.081542969998,-0.5181150436401001,0.0,0.0,9271.823730469001,0.3396434783936,2.793967723846e-09,-1.0,-4339.23046875,3.509099960327,9.313225746155e-10,0.0
R16,2025-03-25 15:15:00,3.442075103521001e-05,9.094947017729001e-13,226799.99999999997,-23543.2421875,0.3291416168213,9.313225746155e-10,0.0,9652.299804688,0.043802261352540006,2.793967723846e-09,-1.0,2063.1181640620002,3.558525085449,0.0,0.0
R16,2025-03-25 15:45:00,3.4421682357790004e-05,9.094947017729001e-13,228600.0,-22275.12988281,1.050563812256,1.862645149231e-09,0.0,9302.908691405999,-0.46171569824220005,1.862645149231e-09,-1.0,8306.314453125,3.333419799805,0.0,0.0
R16,2025-03-25 16:15:00,3.442354500294e-05,9.094947017729001e-13,230399.99999999997,-19890.77587891,1.557286262512,1.862645149231e-09,0.0,7909.043945312,-1.101455688477,1.862645149231e-09,-1.0,13908.73925781,2.851161956787,-9.313225746155e-10,0.0
R16,2025-03-25 16:45:00,3.442447632551e-05,9.094947017729001e-13,232200.0,-16830.09570312,1.796859741211,1.862645149231e-09,0.0,5318.271484375,-1.773183822632,9.313225746155e-10,-1.0,18438.12207031,2.148849487305,-1.862645149231e-09,0.0
R16,2025-03-25 17:15:00,3.4425407648090004e-05,9.094947017729001e-13,234000.0,-13588.12109375,1.761235237122,1.862645149231e-09,0.0,1573.895019531,-2.364683151245,0.0,-1.0,21544.700683590003,1.280474662781,-2.793967723846e-09,0.0
R16,2025-03-25 17:45:00,3.4426338970660005e-05,0.0,235800.0,-10633.338867190001,1.487431526184,9.313225746155e-10,0.0,-3083.732421875,-2.772303581238,0.0,-1.0,22988.11083984,0.31282615661620006,-2.793967723846e-09,0.0
R16,2025-03-25 18:15:00,3.4426338970660005e-05,0.0,237600.0,-8331.591796875,1.050779342651,0.0,0.0,-8248.577148438,-2.918216705322,0.0,-1.0,22655.982421880002,-0.6795721054077001,-2.793967723846e-09,0.0
R16,2025-03-25 18:45:00,3.442727029324001e-05,0.0,239400.0,-6888.054199219,0.5518646240234001,0.0,0.0,-13408.03466797,-2.763559341431,0.0,-1.0,20572.83984375,-1.620116233826,-2.793967723846e-09,0.0
R16,2025-03-25 19:15:00,3.4430995583530006e-05,0.0,241200.0,-6316.855957031,0.09929752349854001,-9.313225746155e-10,0.0,-18020.29003906,-2.315275192261,0.0,-1.0,16898.55859375,-2.435990333557,-2.793967723846e-09,0.0
R16,2025-03-25 19:45:00,3.443192690611e-05,0.0,243000.00000000003,-6443.383300781,-0.20886516571040004,-1.862645149231e-09,0.0,-21597.36865234,-1.625495910645,0.0,-1.0,11916.39599609,-3.063817977905,-1.862645149231e-09,0.0
R16,2025-03-25 20:15:00,3.443192690611e-05,0.0,244800.0,-6938.918457031,-0.3019542694092,-2.793967723846e-09,0.0,-23780.25927734,-0.7834701538086,0.0,-1.0,6011.378417969,-3.454656600952,-9.313225746155e-10,0.0
R16,2025-03-25 20:45:00,3.443192690611e-05,0.0,246600.00000000003,-7381.839355469,-0.1489486694336,-2.793967723846e-09,0.0,-24393.693359380002,0.09867000579834001,9.313225746155e-10,-1.0,-359.4018554688,-3.577920913696,0.0,0.0
R16,2025-03-25 21:15:00,3.443192690611e-05,0.0,248400.0,-7335.118652344,0.23594665527340003,-2.793967723846e-09,0.0,-23471.43359375,0.9039783477783001,9.313225746155e-10,-1.0,-6702.314453125,-3.423878669739,0.0,0.0
R16,2025-03-25 21:45:00,3.443285822868e-05,0.0,250199.99999999997,-6427.016113281,0.7953863143921001,-1.862645149231e-09,0.0,-21247.815917969998,1.529585838318,1.862645149231e-09,-1.0,-12525.72851562,-3.004473686218,9.313225746155e-10,0.0
R16,2025-03-25 22:15:00,3.443285822868e-05,0.0,252000.0,-4421.255371094,1.438314437866,-9.313225746155e-10,0.0,-18116.96972656,1.903211593628,1.862645149231e-09,-1.0,-17378.44140625,-2.352380752563,1.862645149231e-09,0.0
R16,2025-03-25 22:45:00,3.443285822868e-05,0.0,253799.99999999997,-1264.7446289060001,2.055134773254,0.0,0.0,-14566.590820309999,1.994518280029,1.862645149231e-09,-1.0,-20884.87402344,-1.518384933472,2.793967723846e-09,0.0
R16,2025-03-25 23:15:00,3.4433789551260005e-05,0.0,255600.0,2895.31640625,2.536054611206,0.0,0.0,-11097.42529297,1.819415092468,9.313225746155e-10,-1.0,-22774.20849609,-0.567325592041,2.793967723846e-09,0.0
R16,2025-03-25 23:45:00,3.4433789551260005e-05,0.0,257399.99999999997,7727.886230469,2.78950881958,9.313225746155e-10,0.0,-8141.953125000001,1.43664932251,0.0,-1.0,-22901.20410156,0.42702960968020004,2.793967723846e-09,0.0
R17,2025-03-25 00:15:00,0.0001768907532096,2.728484105319e-12,172800.0,20475.69287109,-1.442446708679,9.313225746155e-10,0.0,-8806.447753905999,0.9102897644043001,-9.313225746155e-10,4.0,-12366.839355470001,-3.038412094116,1.862645149231e-09,0.0
R17,2025-03-25 00:45:00,0.000176896341145,2.728484105319e-12,174600.0,17554.65527344,-1.756412506104,0.0,0.0,-6549.157714844,1.598848342896,0.0,4.0,-17286.10058594,-2.391912460327,2.793967723846e-09,0.0
R17,2025-03-25 01:15:00,0.0001769019290805,2.728484105319e-12,176400.0,14322.791503909999,-1.788326263428,0.0,0.0,-3081.6381835939997,2.2358045578,0.0,4.0,-20866.48339844,-1.56049156189,1.862645149231e-09,0.0
R17,2025-03-25 01:45:00,0.0001769075170159,2.728484105319e-12,178200.0,11271.02783203,-1.564408302307,-9.313225746155e-10,0.0,1402.580078125,2.711591720581,9.313225746155e-10,4.0,-22831.50341797,-0.6087684631348,1.862645149231e-09,0.0
R17,2025-03-25 02:15:00,0.000176914036274,2.728484105319e-12,180000.0,8804.350097656,-1.152449607849,-9.313225746155e-10,0.0,6530.284667969,2.93895816803,2.793967723846e-09,4.0,-23030.07617188,0.3894624710083,9.313225746155e-10,0.0
R17,2025-03-25 02:45:00,0.0001769196242094,2.728484105319e-12,181830.0,7176.883789062,-0.6498012542725,0.0,0.0,11802.65429688,2.867580413818,3.725290298462e-09,4.0,-21447.912109380002,1.356990814209,0.0,0.0
R17,2025-03-25 03:15:00,0.0001769261434674,2.728484105319e-12,183630.0,6453.310058594,-0.166540145874,0.0,0.0,16670.468261719998,2.492609977722,4.6566128730770005e-09,4.0,-18208.29736328,2.219151496887,0.0,0.0
R17,2025-03-25 03:45:00,0.0001769326627254,2.728484105319e-12,185430.0,6502.839355469,0.1933622360229,0.0,0.0,20618.108886719998,1.855765342712,4.6566128730770005e-09,4.0,-13562.298828120001,2.909541130066,-9.313225746155e-10,0.0
R17,2025-03-25 04:15:00,0.0001769391819835,2.728484105319e-12,187230.0,7026.541015625,0.3497495651245,9.313225746155e-10,0.0,23242.607421880002,1.038812637329,4.6566128730770005e-09,4.0,-7869.2109375,3.375078201294,-1.862645149231e-09,0.0
R17,2025-03-25 04:45:00,0.0001769457012415,2.728484105319e-12,189030.0,7613.311523438,0.2599506378174,9.313225746155e-10,0.0,24314.83251953,0.15051746368410002,3.725290298462e-09,4.0,-1568.772460938,3.580032348633,-1.862645149231e-09,0.0
R17,2025-03-25 05:15:00,0.0001769522204995,2.728484105319e-12,190830.0,7815.052734375,-0.07384395599365,9.313225746155e-10,0.0,23812.85888672,-0.6907815933228001,2.793967723846e-09,4.0,4852.720703125,3.508728981018,-2.793967723846e-09,0.0
R17,2025-03-25 05:45:00,0.000176957808435,2.728484105319e-12,192630.0,7228.479980469,-0.604697227478,9.313225746155e-10,0.0,21922.137207030002,-1.376125335693,1.862645149231e-09,4.0,10899.810058590001,3.166722297668,-2.793967723846e-09,0.0
R17,2025-03-25 06:15:00,0.000176964327693,2.728484105319e-12,194400.0,5569.879394531,-1.248527526855,0.0,0.0,19002.53173828,-1.823278427124,0.0,4.0,16105.920898440001,2.580346107483,-2.793967723846e-09,0.0
R17,2025-03-25 06:45:00,0.000176970846951,2.728484105319e-12,196200.0,2730.3359375,-1.897909164429,0.0,0.0,15527.74511719,-1.989646911621,0.0,4.0,20069.17773438,1.794690132141,-1.862645149231e-09,0.0
R17,2025-03-25 07:15:00,0.00017697457224130002,2.728484105319e-12,198000.0,-1197.848632812,-2.439833641052,-9.313225746155e-10,0.0,12007.14404297,-1.878640174866,0.0,4.0,22483.27246094,0.8701753616333001,-1.862645149231e-09,0.0
R17,2025-03-25 07:45:00,0.00017698016017680002,2.728484105319e-12,199800.0,-5928.090820312,-2.774489402771,-1.862645149231e-09,0.0,8902.877929688,-1.538471221924,-9.313225746155e-10,4.0,23161.081542969998,-0.12203598022460001,-9.313225746155e-10,0.0
R17,2025-03-25 08:15:00,0.0001769866794348,2.728484105319e-12,201600.0,-11018.87158203,-2.832006454468,-2.793967723846e-09,0.0,6555.922851562001,-1.053582191467,-9.313225746155e-10,4.0,22049.239746090003,-1.105434417725,-9.313225746155e-10,0.0
