satelite_id,Datetime,a0,a1,a2,AODE,C_rs,Delta n0,M0,C_uc,e,C_us,sqrt(A),T_oe,C_ic,OMEGA0,C_is,i0,C_rc,omega,OMEGA DOT,IDOT,Spare1,BDT Week,Spare2,SV accurracy,SatH1,TGD1,TGD2,t_tm,AODC
C02,2023-12-11 04:00:00,0.00024094339460100001,3.4088287748099996e-11,0.0,1.0,-399.65625,-1.16865582206e-08,-2.60974087295,-1.2836419045900002e-05,0.000801010173745,-2.6557594537700003e-05,6493.3487319900005,100800.0,2.9569491743999996e-07,-1.65088436806,-1.3364478945699998e-07,0.075117010525,817.515625,0.510983808687,1.2883750945700001e-08,3.62872257943e-10,0.0,936.0,0.0,2.0,0.0,8.000000106810001e-10,-1.3700000000000002e-08,100800.0,0.0
C02,2023-12-11 05:00:00,0.00024106388445940003,3.380140611853e-11,0.0,1.0,-731.28125,-9.134309052065e-09,-2.344250878819,-2.3633707314730002e-05,0.0007992014288902001,-1.585949212313e-05,6493.355957031001,104400.0,4.656612873077e-08,-1.389101392254,-1.913867890835e-07,0.08456620905918999,484.82812500000006,0.2464039997613,1.028971432219e-08,5.814527912712e-10,0.0,936.0,,2.0,0.0,8e-10,-1.3700000000000002e-08,104400.4,0.0
C02,2023-12-11 06:00:00,0.00024118390865600004,3.3587355119399995e-11,0.0,1.0,-837.109375,-6.47669835191e-09,-2.07663730988,-2.7231872081800004e-05,0.0007974285399540001,-2.35205516219e-06,6493.3666896800005,108000.0,-6.47269189358e-08,-1.15335519982,-1.3969838619199998e-07,0.0937117818719,65.625,0.00563278173654,7.55245744731e-09,7.832469110920001e-10,0.0,936.0,0.0,2.0,0.0,8.000000106810001e-10,-1.3700000000000002e-08,108000.0,0.0
C02,2023-12-11 07:00:00,0.000241305097006,3.36193295425e-11,0.0,1.0,-769.984375,-4.11445709794e-09,-1.81142263401,-2.51955352724e-05,0.000797040876932,9.90275293589e-06,6493.37197495,111600.00000000001,-1.5599653124799998e-07,-0.935635759819,-7.17118382454e-08,0.10208968403400001,-311.28125,-0.214822799295,5.14628579203e-09,9.111093799340001e-10,0.0,936.0,0.0,2.0,0.0,8.000000106810001e-10,-1.3700000000000002e-08,111600.00000000001,0.0
C02,2023-12-11 08:00:00,0.00024142593611,3.3598013260399994e-11,0.0,1.0,-590.984375,-1.9940116300200002e-09,-1.55119714076,-1.94418244064e-05,0.000796698732302,1.86180695891e-05,6493.36752129,115199.99999999999,-2.0395964384099996e-07,-0.7303668732720001,-7.450580596920001e-09,0.109362619301,-575.296875,-0.417945051055,3.0494127345700005e-09,9.78255033963e-10,0.0,936.0,0.0,2.0,0.0,8.000000106810001e-10,-1.3700000000000002e-08,115199.99999999999,0.0
C02,2023-12-11 09:00:00,0.000241548172198,3.37561090191e-11,0.0,1.0,-346.25,-8.464638300449999e-11,-1.29434447684,-1.14664435387e-05,0.000794745516032,2.3182015866e-05,6493.3556766500005,118800.0,-2.0675361156499998e-07,-0.533636120841,4.6566128730800005e-08,0.11528217394200001,-709.421875,-0.609250956536,1.2132648230600002e-09,9.971843938750001e-10,0.0,936.0,0.0,2.0,0.0,8.000000106810001e-10,-1.3700000000000002e-08,118800.0,0.0
C02,2023-12-11 10:00:00,0.00024166994262500002,3.37845307286e-11,0.0,1.0,-71.796875,1.60828127708e-09,-1.03673296951,-2.45776027441e-06,0.000791777623817,2.42367386818e-05,6493.34385109,122400.0,-1.7648562789e-07,-0.34260186608000004,7.91624188423e-08,0.119667633689,-736.796875,-0.79569543456,-4.09659921123e-10,9.74683456621e-10,0.0,936.0,0.0,2.0,0.0,8.000000106810001e-10,-1.3700000000000002e-08,122400.0,0.0
C02,2023-12-11 11:00:00,0.00024179182946700004,3.38165051517e-11,0.0,1.0,198.71875,3.0990576596200004e-09,-0.776209658328,6.46244734526e-06,0.000789794605225,2.26446427405e-05,6493.337720869999,126000.0,-1.2246891856199998e-07,-0.155086058037,8.66129994392e-08,0.122394558339,-684.796875,-0.9815870933970001,-1.86722063438e-09,9.175382191500001e-10,0.0,936.0,0.0,2.0,0.0,8.000000106810001e-10,-1.3700000000000002e-08,126000.0,0.0
C02,2023-12-11 12:00:00,0.000241912668571,3.3694824708199995e-11,0.0,1.0,432.67187500000006,4.40375486264e-09,-0.5131097256280001,1.42119824886e-05,0.0007910184795040001,1.92178413272e-05,6493.34084892,129600.0,-5.77419996262e-08,0.0307047252836,9.17352735996e-08,0.12338884231500001,-579.9375,-1.16835877646,-3.20049045613e-09,8.407493062980001e-10,0.0,936.0,0.0,2.0,0.0,8.000000106810001e-10,-1.3700000000000002e-08,129600.0,0.0
C02,2023-12-11 13:00:00,0.000242035486735,3.3907099350499995e-11,0.0,1.0,604.796875,5.560231605960001e-09,-0.249916691359,1.99386849999e-05,0.000795344705693,1.4233402907800001e-05,6493.351345059999,133200.0,-4.656612873080001e-09,0.21638381334600001,1.20140612125e-07,0.12262391317200001,-429.578125,-1.35511372373,-4.431256008170001e-09,7.58245869698e-10,0.0,936.0,0.0,2.0,0.0,8.000000106810001e-10,-1.3700000000000002e-08,133200.0,0.0
